rok,miasto,dzielnica,na_mapie,w_kronice,razem
2011,DE,Tiergarten,1,0,1
2011,DE,Treptow,1,0,1
2012,DE,Hohenschönhausen,1,0,1
2012,DE,Kreuzberg,3,0,3
2012,DE,Köpenick,1,0,1
2012,DE,Lichtenberg,2,0,2
2012,DE,Mitte,4,0,4
2012,DE,Prenzlauer Berg,1,0,1
2012,DE,Treptow,1,0,1
2012,DE,Wedding,1,0,1
2013,DE,Gesundbrunnen,1,0,1
2013,DE,Hohenschönhausen,1,0,1
2013,DE,Kreuzberg,2,0,2
2013,DE,Köpenick,1,0,1
2013,DE,Mitte,4,0,4
2013,DE,Niederschöneweide,3,0,3
2013,DE,Prenzlauer Berg,1,0,1
2014,DE,Kreuzberg,2,0,2
2014,DE,Köpenick,1,0,1
2014,DE,Mitte,4,0,4
2014,DE,Treptow,1,0,1
2014,DE,Wedding,1,0,1
2015,DE,Hohenschönhausen,1,0,1
2015,DE,Kreuzberg,3,1,4
2015,DE,Köpenick,1,0,1
2015,DE,Marzahn,1,0,1
2015,DE,Mitte,3,2,5
2015,DE,Neu-Hohenschönhausen,2,0,2
2015,DE,Prenzlauer Berg,1,0,1
2015,DE,Tiergarten,1,0,1
2015,DE,Treptow,1,0,1
2015,DE,Wedding,1,2,3
2016,DE,Friedrichshain-Kreuzberg,0,1,1
2016,DE,Gesundbrunnen,1,0,1
2016,DE,Johannisthal,1,0,1
2016,DE,Kreuzberg,2,0,2
2016,DE,Köpenick,1,0,1
2016,DE,Lichtenberg,0,1,1
2016,DE,Mitte,3,1,4
2016,DE,Neu-Hohenschönhausen,2,0,2
2016,DE,Neukölln,1,3,4
2016,DE,Niederschöneweide,3,0,3
2016,DE,Pankow,0,2,2
2016,DE,Tiergarten,1,0,1
2016,DE,Treptow,1,1,2
2016,DE,Treptow-Köpenick,0,1,1
2016,DE,Wedding,0,1,1
2016,DE,Weißensee,2,0,2
2017,DE,Friedrichshain-Kreuzberg,0,3,3
2017,DE,Hellersdorf,1,0,1
2017,DE,Hohenschönhausen,1,0,1
2017,DE,Kreuzberg,5,0,5
2017,DE,Köpenick,1,0,1
2017,DE,Lichtenberg,1,0,1
2017,DE,Mitte,4,0,4
2017,DE,Moabit,1,0,1
2017,DE,Pankow,1,0,1
2017,DE,Prenzlauer Berg,1,0,1
2017,DE,Treptow,1,0,1
2017,DE,Wedding,1,0,1
2017,DE,Weißensee,1,0,1
2018,DE,Grunewald,0,1,1
2018,DE,Hohenschönhausen,1,0,1
2018,DE,Kreuzberg,3,0,3
2018,DE,Köpenick,1,0,1
2018,DE,Lichtenberg,1,0,1
2018,DE,Mitte,4,0,4
2018,DE,Pankow,1,0,1
2018,DE,Prenzlauer Berg,1,0,1
2018,DE,Wedding,1,0,1
2019,DE,Blankenburg,1,0,1
2019,DE,Friedrichshain,2,2,4
2019,DE,Gatow,0,1,1
2019,DE,Grunewald,0,6,6
2019,DE,Hellersdorf,0,1,1
2019,DE,Hohenschönhausen,1,2,3
2019,DE,Kreuzberg,2,2,4
2019,DE,Köpenick,1,0,1
