nr,rok,dzielnica,nazwa,zrodlo,dokument,trafnosc,cytat
69,2010,Hohenschönhausen,Stadtteilfest »Bunte Platte«,Berliner Morgenpost 29.04.2010,,0,
70,2012,Hohenschönhausen,Familienfest »Bunte Platte«,Berliner Zeitung 30.04.2012; info links (Die Linke Lichtenberg) 03/2012,,0,
71,2012,Lichtenberg,Gegenkundgebung vor dem Lindencenter,Berliner Zeitung 30.04.2012,bunte_platte_2010_2012.txt,7.0,"Tollensestraße und von 14.30 Der Bezirksverband der Linkspartei hat zu einer Gegenkundgebung aufgerufen, die"
72,2012,Kreuzberg,Fest der Linken auf dem Mariannenplatz,Berliner Zeitung 30.04.2012,bunte_platte_2010_2012.txt,8.7,"19 Uhr auch das Fest der Linken statt, mit Ständen und Politik-Diskussionen. Auch die zentrale Kindersammelstelle"
73,1994,Spandau,Tanz in den Mai,BZ 28.04.1994,DE_1990-2019.md,12.0,"Um 18 Uhr startet die Frauendemonstration am Alex,** und bei Einbruch der Dunkelheit beginnt **hinter dem Planetarium in Prenzlauer Berg der Hexentanz.** Ebenfalls um **"
74,1994,Prenzlauer Berg,Tanz in den Mai,BZ 28.04.1994,,0,
75,1994,Friedrichshain,Maifest der PDS Friedrichshain und Lichtenberg,nd 27.04.1994,,0,
76,1994,Köpenick,Maifeier im Luisenhain,nd 27.04.1994,artykuly_nd.txt,9.0,"14-18 Uhr, Luisenhain, Marzahn,"
77,1994,Hohenschönhausen,1. Mai-Fest im Oberseepark,nd 27.04.1994,,0,
78,1994,Hohenschönhausen,Maifeier der SPD Hohenschönhausen,nd 27.04.1994,,0,
79,1994,Köpenick,Volksfest der SPD im Schlosshof,BZ 28.04.1994,DE_1990-2019.md,12.0,"**14:00** – Volksfest SPD w Köpenick, Schlosshof #SPD i Pankow, Breite Strasse (BZ 28.04.1994)"
80,1994,Pankow,Volksfest der SPD,BZ 28.04.1994,DE_1990-2019.md,12.0,"**14:00** – Volksfest SPD w Köpenick, Schlosshof #SPD i Pankow, Breite Strasse (BZ 28.04.1994)"
81,1995,Neukölln,Tanz in den Mai,rocznik DE,,0,
82,1995,Wedding,Tanz in den Mai,rocznik DE,,0,
83,1995,Buch,Maifest im Schloßpark Buch,rocznik DE,,0,
84,1995,Hohenschönhausen,Maifeier am Orankebad,rocznik DE,,0,
85,2004,Prenzlauer Berg,15. Kiezfest an der Bötzow-Eiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 12",(brak w repo),,
86,2007,Prenzlauer Berg,1. Mai-Fest an der Bötzow-Eiche,Zotero: »Botzow-Fest 1. Mai PDS«,(brak w repo),,
87,2008,Prenzlauer Berg,1. Mai-Fest an der Bötzoweiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 8",(brak w repo),,
88,2009,Prenzlauer Berg,1. Mai-Fest an der Bötzow-Eiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 8",(brak w repo),,
89,2010,Prenzlauer Berg,Maifest der LINKEN Pankow an der Bötzoweiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 8",(brak w repo),,
90,2011,Prenzlauer Berg,1. Mai Fest an der Bötzoweiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 8",(brak w repo),,
91,2012,Prenzlauer Berg,1. Mai-Fest an der Bötzoweiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 7",(brak w repo),,
92,2013,Prenzlauer Berg,1. Mai Fest an der Bötzoweiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 7",(brak w repo),,
93,2015,Prenzlauer Berg,1. Mai-Fest an der Bötzoweiche,"Zotero: »Botzow-Fest 1. Mai PDS«, s. 7",(brak w repo),,
94,2003,Hohenschönhausen,Bürgerdemo und -kundgebung »Gegen rechte Gewalt«,info links (Die Linke Lichtenberg) 03/2003,Ausgabe%2003%20-%20%202003%20vom%2003.04.03.pdf,7.0,"10.30 Uhr: Stellplatz Demo: Falkenberger Chaussee/Höhe Kirche bis Ecke Vincentvan-Gogh-Straße,"
95,2003,Hohenschönhausen,Maifest am Obersee,info links (PDS Lichtenberg) 03/2003,Ausgabe%2003%20-%20%202003%20vom%2003.04.03.pdf,6.7,
96,2006,Hohenschönhausen,Familienfest Falkenberger Chaussee,info links (Die Linke Lichtenberg) 03/2006,info0306.pdf,10.3,"ab 11 Uhr: Falkenberger Chaussee/Vincent-van-Gogh-Straße (mit einem Stand der Linkspartei),"
97,2006,Lichtenberg,Familienfest am Rathaus,info links (Die Linke Lichtenberg) 03/2006,info0306.pdf,8.0,"ab 12 Uhr: Frankfurter Allee/Möllendorffstraße Veranstaltungsort: *Alfred-Kowalke-Straße 14, **Ahrenshooper St…"
98,2007,Hohenschönhausen,Lichtenberger Familienfest,info links (Die Linke Lichtenberg) 03/2007,info0307.pdf,13.0,"11 –18 Uhr LichtenbergerFam ilienfest;Warnitzer Bogen,FalkenbergerChaussee/Ecke Pablo-Picasso-Straße G Dienstag, 1.5.,"
99,2010,Lichtenberg,Sportfest »Der Gewalt einen Korb geben«,info links (Die Linke Lichtenberg) 03/2010,info0310.pdf,12.0,"2 –18 Uhr Sportfest„DerGewalteinen Korbgeben “, FrankfurterAllee,EckeMöllendorffstraße G Sonnabend, 8 .5. 65 .JahrestagderB efreiung vom Faschis - m us, Kranzniederlegungen :"
100,2012,Lichtenberg,Familiensportfest »Der Gewalt einen Korb geben«,info links (Die Linke Lichtenberg) 03/2012,info0312.pdf,14.0,12 – 18 Uhr: Familiensportfest „Der Gewalt einen Korb geben“; Möllendorffstraße
101,2015,Hohenschönhausen,Maifest auf der Falkenberger Festwiese,info links (Die Linke Lichtenberg) 03/2015,info0315.pdf,8.7,ab 11 Uhr DIE LINKE. Lichtenberg ist beim Maifest auf der Falkenberger Fest - wiese dabei! MIT RA T & TAT SPRECHSTUNDEN TERMINE Öffnungszeiten der Geschäfts - stelle der LINKEN in der Alfre dKowalk e-Straße 14:
102,2007,Köpenick,Maifest »Venceremos!«,blättchen (Die Linke Treptow-Köpenick) 05/2007,Blaettchen_Mai_07.pdf,7.0,18 Uhr Schlossplatz Köpenick
103,2008,Köpenick,Maifete im Frauentog,"blättchen (Die Linke Treptow-Köpenick) 139, maj 2008",Blaettchen_139_Mai08.pdf,14.0,"13-18 Uhr Maifete im Frauentog, Altstadt Köpenick MO 5.5. 17:00 Basistreffen: Konzept zur Mitgliedergewinnung und –pflege,"
104,2009,Köpenick,Maifest im Frauentog,"blättchen (Die Linke Treptow-Köpenick) 148, kwiecien 2009",Blaettchen_148_april_09.pdf,11.5,"13-18 Uhr, Frauentog (Schlossplatz) Köpenick Gregor Gysi sowie Landes- und Bezirkspolitiker vor Ort, Marktstände, Bühnenprogramme, gastronomische Versorgung 8. Mai, Tag der Befreiung"
105,2010,Köpenick,Maifest am Schloßplatz,"blättchen (Die Linke Treptow-Köpenick) 160, 29.04.2010",Blaettchen_160_mai_2010.pdf,14.0,"13 – 18 Uhr Maifest am Schloßplatz Köpenick. Mit Musik, Gesprächsrunden und gastronomischer Versorgung."
106,2011,Köpenick,Maifest der Partei DIE LINKE,"blättchen (Die Linke Treptow-Köpenick) 169, kwiecien 2011",Blaettchen_169_April_2011_neu.pdf,14.0,"13–18 Uhr Uhr Maifest der Partei DIE LINKE, Frauentog Altstadt Köpenick. So 1.5."
107,2012,Köpenick,Maifest am Frauentog,"blättchen (Die Linke Treptow-Köpenick) 180, kwiecien 2012",Blaettchen_169_April_2011_neu.pdf,10.0,"13–18 Uhr Uhr Maifest der Partei DIE LINKE, Frauentog Altstadt Köpenick. So 1.5."
108,2014,Köpenick,Maifest der LINKEN Treptow-Köpenick,"blättchen (Die Linke Treptow-Köpenick) 201, 03.04.2014",Blaettchen_201_April_2014.pdf,14.0,13 – 19 Uhr Maifest der LINKEN Treptow-Köpenick am Schloßplatz Köpenick. Programm siehe Seite 1. Do 1.5.
109,2015,Köpenick,Maifest der LINKEN Treptow-Köpenick,"blättchen (Die Linke Treptow-Köpenick) 211, kwiecien 2015",Blaettchen_211_April_2015.pdf,14.0,13–18 Uhr Maifest der LINKEN Treptow-Köpenick am Schloßplatz Köpenick. DO 1.5.
110,2016,Köpenick,Maifest der LINKEN Treptow-Köpenick,"blättchen (Die Linke Treptow-Köpenick) 221, kwiecien 2016",Blaettchen_221_April_2016.pdf,14.0,13–18 Uhr Maifest der LINKEN Treptow-Köpenick auf demSchloßplatz Köpenick. ·
111,2007,Treptow,16. Kiez-Fete rund um den Springbornclub,blättchen (Die Linke Treptow-Köpenick) 05/2007,,0,
112,2009,Treptow,Kiezfete im Springbornklub,"blättchen (Die Linke Treptow-Köpenick) 148, kwiecien 2009",Blaettchen_148_april_09.pdf,9.0,"13-18 Uhr, Kiezfete im Springbornklub Joahnnisthal"
113,2010,Treptow,Kiezfest im Springbornklub,"blättchen (Die Linke Treptow-Köpenick) 160, 29.04.2010",Blaettchen_160_mai_2010.pdf,11.5,"13 – 18 Uhr Kiezfest im Springbornklub Johannisthal. Gesprächsrunden, Musik, Kinderfest, gastronomische Versorgung. Ausgabe Nr. 160"
114,2011,Treptow,20. Kiezfest Berlin-Johannisthal,"blättchen (Die Linke Treptow-Köpenick) 169, kwiecien 2011",Blaettchen_169_April_2011_neu.pdf,12.0,12–22 Uhr 20. Kiezfest BerlinJohannisthal. Mit Bürgermeisterkandidatin Ines Feierabend und anderen Gästen in der Talkrunde (ca.
