rok,miasto,godzina_od,godzina_do,dzielnica,aktor,sekcja,tekst,grupa,mozliwy_duplikat,dzielnicowe,organizator_lokalny,odniesienie
2016,DE,10:00,,Pankow,NPD,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Berlin-Pankow: Erste NPD-Kundgebung „Asylflut stoppen“ am Antonplatz, Beginn 10 Uhr",2016-Pankow-10:00-0,TRUE,kandydat,,DE_1990-2019.md:6901
2016,DE,10:00,,Pankow,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Berlin-Pankow: Kundgebung Die Grünen „Pankow ist bunt und vielfältig“ auf der Berliner Allee, Beginn 10 Uhr",2016-Pankow-10:00-0,TRUE,kandydat,,DE_1990-2019.md:6902
2016,DE,10:00,,Friedrichshain-Kreuzberg,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Friedrichshain-Kreuzberg: Kundgebung zur freien Musikäußerung, Beginn 10 Uhr",2016-Friedrichshain-Kreuzberg-10:00-0,FALSE,kandydat,,DE_1990-2019.md:6904
2016,DE,11:30,,Lichtenberg,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Berlin-Lichtenberg: Kundgebung „Gemeinsam gegen Rassismus – Refugees Welcome“, Beginn 11.30 Uhr",2016-Lichtenberg-11:30-0,FALSE,kandydat,,DE_1990-2019.md:6905
2016,DE,13:00,,Treptow-Köpenick,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Treptow-Köpenick: Kundgebung „1. Mai – Nazifrei!“ am Busbahnhof Schöneweide, Beginn 13 Uhr",2016-Treptow-Köpenick-13:00-0,FALSE,kandydat,,DE_1990-2019.md:6908
2016,DE,13:30,,Treptow,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht / Kundgebungen zum 1. Mai 2016 (B.Z)","Treptow Köpenick: Kundgebung „Schöner weiden ohne Nazis an der Brückenstraße / Schnellerstraße, Beginn 13.30 Uhr",2016-Treptow-13:30-0,FALSE,kandydat,,DE_1990-2019.md:6910
2016,DE,16:30,,Wedding,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht","Berlin-Wedding: Aufzug durch Wedding, Beginn 16.30 Uhr. Die Strecke: U-Bahnhof Osloer Straße – Schwedenstraße – Badstraße – Buttmannstraße – Thumyssensstraße – Pankstraße – Badstraße – Stettiner Straße –",2016-Wedding-16:30-0,FALSE,,,DE_1990-2019.md:6893
2016,DE,18:00,,Neukölln,,"Scenariusz / Kundgebungen zum 30. April 2016, Walpurgisnacht","Berlin-Neukölln: Kundgebung gegen Räumung eines Kiezladens am Reuterplatz/Reuterstraße, Beginn 18 Uhr",2016-Neukölln-18:00-0,FALSE,kandydat,,DE_1990-2019.md:6895
2017,DE,10:00,,Friedrichshain-Kreuzberg,,Scenariusz / Lista wydarzeń w Berlinie,"Erste Myfest-Kundgebung, Beginn 10 Uhr, Friedrichshain-Kreuzberg, von Görlitzer Bahnhof bis Oranienplatz einschließlich Oranienplatz und vom Oranienplatz bis einschließlich Naunystraße",2017-Friedrichshain-Kreuzberg-10:00-0,TRUE,kandydat,,DE_1990-2019.md:7006
2017,DE,10:00,,Friedrichshain-Kreuzberg,,Scenariusz / Lista wydarzeń w Berlinie,"Zweite Myfest-Kundgebung, Beginn 10 Uhr, Friedrichshain-Kreuzberg, von Mariannenplatz/ Mariannenstraße/ Waldemarstraße bis Heinrichplatz einschließlich Feuerwehrdenkmal und von Mariannenpla",2017-Friedrichshain-Kreuzberg-10:00-0,TRUE,kandydat,,DE_1990-2019.md:7007
2017,DE,13:00,,Friedrichshain-Kreuzberg,Die Linke,Scenariusz / Lista wydarzeń w Berlinie,"Kundgebung Die Linke, Beginn 13 Uhr, Friedrichshain-Kreuzberg, Mariannenplatz, vom Rondell vor dem Bethanien, Höhe Muskauer Straße, bis Ende Grünfläche vor der St. Thomas-Kirche, höhe W",2017-Friedrichshain-Kreuzberg-13:00-0,FALSE,kandydat,,DE_1990-2019.md:7010
2018,DE,14:00,,Grunewald,MyGruni,Scenariusz,14:00 Demonstracja satyryczna MyGruni w zachodnioberlińskiej dzielnicy Grunewald,2018-Grunewald-14:00-0,FALSE,kandydat,,DE_1990-2019.md:7140
2019,DE,10:30,,Neukölln,,Prasa / Berliner Morgenpost / So startet Berlin in den _Mai_,"Neukölln: Am 1. Mai wird traditionell auf der Festplatzbühne am See im Britzer Garten getanzt. Ab 10.30 Uhr tanzen rund 100 Tänzer in traditionellen Kostümen der Tanzgruppe "" LAG Tanz"" . Die Tänzer kommen unter anderem aus Israel, Griechenland, aber auch De",2019-Neukölln-10:30-0,FALSE,kandydat,,DE_1990-2019.md:7405
2019,DE,11:00,,Pankow,AfD,"Prasa / Berliner Kurier / “Wehe, wenn es dunkel wird 15 Protestzüge marschieren am Feiertag durch die Stadt. Einer macht der Polizei besonders Sorgen”",sprach am Mittwoch auch ein Grußwort vor dem Brandenburger Tor. Erstmals kritisch für die Polizei wurde es ab 11 Uhr beim Bürgerfest der AfD in Pankow. Dort demonstrierten Hunderte Menschen mit einem Lautsprecherwagen und einem roten Banner gegen das Fest. Die Poliz,2019-Pankow-11:00-0,FALSE,kandydat,,DE_1990-2019.md:7348
2019,DE,11:00,18:00,Hohenschönhausen,,Prasa / Berliner Morgenpost / So startet Berlin in den _Mai_,"1. Mai, 11-18 Uhr, Familienfest "" Bunte Platte"" in Hohenschönhausen, Falkenberger Chaussee, Ecke Vincent-van-Gogh-Straße, Eintritt frei.",2019-Hohenschönhausen-11:00-0,FALSE,kandydat,,DE_1990-2019.md:7415
2019,DE,12:00,,Grunewald,,Scenariusz,am S-Bahnhof Grunewald. Zur gemeinsamen Anreise kann man sich bereits um 12 Uhr am Bahnhof Alexanderplatz auf Gleis 4 einfinden.,2019-Grunewald-12:00-0,FALSE,kandydat,,DE_1990-2019.md:7278
2019,DE,12:00,22:00,Hellersdorf,,Prasa / Berliner Morgenpost / So startet Berlin in den _Mai_,"1. Mai, 12-22 Uhr, Alice-Salomon-Platz, Hellersdorf, Eintritt frei, www.laubinger.de/termine/tanzfest-in-hellersdorf(http://www.laubinger.de/termine/tanzfest-in-hell",2019-Hellersdorf-12:00-0,FALSE,kandydat,,DE_1990-2019.md:7403
2019,DE,12:00,,Spandau,,Prasa / Berliner Morgenpost / So startet Berlin in den _Mai_,"Spandau: Auf dem Vierfelderhof in Gatow wird am 1. Mai ein Familienfest gefeiert. Los geht es um 12 Uhr mit dem Schmücken einer Birke als Maibaum, die anschließend aufgestellt wird. Am Nachmittag können Besucher bei einer Bauernhof-Olympiade antreten,",2019-Spandau-12:00-0,FALSE,kandydat,,DE_1990-2019.md:7409
2019,DE,12:30,,Wedding,,Scenariusz,12.30 Uhr: Im Wedding beginnt um 12.30 Uhr am Nettelbeckplatz ein politis,2019-Wedding-12:30-0,TRUE,,,DE_1990-2019.md:7277
2019,DE,12:30,,Wedding,,Scenariusz,": Im Wedding beginnt um 12.30 Uhr am Nettelbeckplatz ein politischer Stadtspaziergang zum 90. Jahrestag des sogenannten Blutmai 1929, an dem die Polizei hart gegen ungenehmigte, von d",2019-Wedding-12:30-0,TRUE,,,DE_1990-2019.md:7277
2019,DE,13:00,,Grunewald,,Scenariusz,13 Uhr: Andere fahren gegen Mittag in den Grunewald: Die Hedonistische Internationale hat für ihre Demonstration das Motto »Miteinander gegen ein Gegeneinan,2019-Grunewald-13:00-0,FALSE,kandydat,,DE_1990-2019.md:7278
2019,DE,13:00,,Grunewald,,Scenariusz,sollen im »sozial abgehängten Bezirk Begegnungszonen ermöglicht werden«. Der Demonstrationszug trifft sich um 13 Uhr am S-Bahnhof Grunewald. Zur gemeinsamen Anreise kann man sich bereits um 12 Uhr am Bahnhof Alexanderplatz auf Gle,2019-Grunewald-13:00-1,FALSE,kandydat,,DE_1990-2019.md:7278
