rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
2022,DE,DGB,demonstracja,7500,BM,prasa,FrekwencjaDGB15.xlsx#Dane
2022,DE,DGB,demonstracja,9500,polizei Meldung,policja,FrekwencjaDGB15.xlsx#Dane
2022,DE,R1M,demonstracja wieczorna,14000,"police, via BM",policja,FrekwencjaDGB15.xlsx#Dane_Revo
2022,DE,R1M,demonstracja wieczorna,20000,"organizatorzy, via BM",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2023,DE,DGB,demonstracja,6000,polizei Meldung,policja,FrekwencjaDGB15.xlsx#Dane
2023,DE,R1M,demonstracja wieczorna,12000,police via BM,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2023,DE,R1M,demonstracja wieczorna,20000,"organizatorzy, via BM",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2024,DE,DGB,demonstracja,14000,polizei Meldung,policja,FrekwencjaDGB15.xlsx#Dane
2024,DE,DGB,demonstracja,7500,BZ,prasa,FrekwencjaDGB15.xlsx#Dane
2024,DE,DGB,demonstracja,12500,Naturfreunde,prasa,FrekwencjaDGB15.xlsx#Dane
2024,DE,R1M,demonstracja wieczorna,11800,polizei Meldung,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2024,DE,R1M,demonstracja wieczorna,25000,organizatorzy via Tsg,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2024,DE,R1M,demonstracja wieczorna,15000,Umbruch Archiv,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2025,DE,DGB,demonstracja,6600,polizei Meldung,policja,FrekwencjaDGB15.xlsx#Dane
2025,DE,DGB,demonstracja,11000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
2025,DE,R1M,demonstracja wieczorna,22000,police via BM,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2025,DE,R1M,demonstracja wieczorna,30000,organizatorzy,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2026,DE,DGB,demonstracja,7100,polizei Meldung,policja,FrekwencjaDGB15.xlsx#Dane
2026,DE,DGB,demonstracja,12000,Naturfreunde,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2026,DE,R1M,demonstracja wieczorna,30000,organizatorzy,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2026,DE,R1M,demonstracja wieczorna,11000,police,policja,FrekwencjaDGB15.xlsx#Dane_Revo
1990,PL,OPZZ,demonstracja,5000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1990,PL,OPZZ,demonstracja,12000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
1990,PL,OPZZ,demonstracja,10000,TPZ,,frekwencja_warszawa_zwiazki.tsv
1990,PL,OPZZ,demonstracja,30000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1991,PL,OPZZ,demonstracja,10000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1991,PL,OPZZ,demonstracja,15000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1992,PL,OPZZ,demonstracja,15000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1992,PL,OPZZ,demonstracja,30000,TPZ,,frekwencja_warszawa_zwiazki.tsv
1992,PL,OPZZ,demonstracja,4000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1992,PL,OPZZ,demonstracja,47000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
1993,PL,OPZZ,demonstracja,3000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1993,PL,OPZZ,demonstracja,13000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
1994,PL,OPZZ,demonstracja,2000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1994,PL,OPZZ,demonstracja,4000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
1995,PL,OPZZ,demonstracja,2000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1995,PL,OPZZ,demonstracja,2000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
1995,PL,OPZZ,demonstracja,10000,TPZ,,frekwencja_warszawa_zwiazki.tsv
1995,PL,OPZZ,demonstracja,4000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1996,PL,OPZZ,demonstracja,2000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1996,PL,OPZZ,demonstracja,2000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
1996,PL,OPZZ,demonstracja,10000,TPZ,,frekwencja_warszawa_zwiazki.tsv
1996,PL,OPZZ,demonstracja,4000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
1997,PL,OPZZ,demonstracja,2000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1997,PL,OPZZ,demonstracja,2000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
1997,PL,OPZZ,demonstracja,2000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
