rok,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor_zgadniety,sekcja,tekst,wiersz_zrodlowy
1992,11:00,,,,DGB;ÖTV;Revolutionäre 1. Mai,Events description / taz / Demos am 1. Mai,"Opis:: Folgende Demos werden am 1. Mai stattfinden: DGB-Abschlußkundgebung um 11 Uhr im Lustgarten. Start: DGB-Haus, Keith-/Kleiststraße (8.30); IG-Metall-Haus, Alte Jakob-/Lindenstraße (9.00), ÖTV- Haus, Joachimsthaler Straße 20 (8.30) sowie am Gewerkschaftshaus, Wallstraße 61-65 (9.30). Kritische Gewerkschafter marschieren getrennt ab 10 Uhr vom Alex zum Lustgarten. Und: »Revolutionäre 1. Mai- D",1686
1992,13:00,,Kreuzberg,Kreuzberg,,Events description,13:00 – R1M at Kreuzberg,1398
1992,13:00,,Mitte,Mitte;Kreuzberg;Neukölln;Prenzlauer Berg,,Events description / taz / Die Re­vo­lu­ti­on in Block­for­ma­ti­on,"Opis:: Western Groups' Plans:  RIM (Revolutionary Internationalist Movement): Dogmatic ML group calling for a demo to Brandenburg Gate starting 13:00 from Oranienplatz Independent autonomous groups: Organizing a separate march through Mitte, Kreuzberg, and Neukölln to Kottbusser Tor Both routes start from the same place (Oranienplatz) at the same time - whoever leaves first determines the actual r",1700
1992,13:00,,,,,Events description / Spiegel / Offene Hand statt geballter Faust,"12.04.1992, 13.00 Uhr • aus DER SPIEGEL 16/1992(https://www.spiegel.de/spiegel/print/index-1992-16.html ""DER SPIEGEL 16/1992"")",1810
1992,15:00,,Prenzlauer Berg,Prenzlauer Berg,Antifa;FAP,Events description,"15:00 – FAP demonstration at Prenzlauer Berg, Ernst-Thälmann Platz. 50 attendees, 200 counterprotesters from Antifa",1399
1992,15:00,,Kreuzberg,Kreuzberg,FAP,Events description / taz / Krawall in SO 36 FAP-Demo ver­hin­dert,"Opis:: Not many were masked. Slogans about LA riots. Clashes between autonomen and RIM+turiksh communists. No route towards Brandenburg, everything stayed in Kreuzberg. 15:00 – Ernst-Thälmann-Platz FAP demonstration, hindered by autonomen and anti-fassits – only 3 to 5k were there.",1761
1992,20:00,,,,,Events description,20:00 – Der Osten schlägt zurück,1403
1992,20:00,,Prenzlauer Berg,Prenzlauer Berg,,"Events description / z 5DGBG000656, nie wiem jaki tytuł prasowy. Wszystko 2.05 / Hauke/Rechenberg","Gegen 20 Uhr weiteten sich die Ausschreitungen auf Prenzlauer Berg aus. Unter dem Motto „DerOsten schlägt zurück"" randaliertenrund 500 Autonome rund um den Kollwitzplatz. Sie demoliertenSchaufenster, errichteten Barrika-den und attackierten Polizisten",1529
1992,20:00,,Prenzlauer Berg,Prenzlauer Berg,,Events description / taz / Die Re­vo­lu­ti­on in Block­for­ma­ti­on,"Cytaty:: Zu weiteren Streitigkeiten im Vorfeld kam es zwischen Autonomen aus Ost und West. Es gebe einen »Abstand in der Art, mit Konflikten umzugehen«, bemerkt der Aufruf zum eigenen »revolutionären Ostblock«: »Während wir uns aus unserer Geschichte heraus kein Zusammengehen mit doktrinären ML-Sekten wie RIM oder TKP/ML vorstellen können, beschwert sich ein großer Teil der Wessis maximal über nic",1701
1993,09:00,,,,ÖTV,Scenariusz / 1. Mai,"9:00 - ÖTV Haus, Joachimstaler Strasse 20",1935
1993,09:15,,,,DGB;PDS;BKG,Scenariusz / 1. Mai,"9:15 - PDS Auftaktkundgebung Rosa-Luxemburg-Platz Kundgebung, danach ""Zug der Widerspenstigen"" zur DGB-Kundgebung PDS BKG",1936
1993,09:15,,,,DGB;PDS,Prasa / taz / Rot ist der Maien — und sehr som­mer­lich,"PDS - Auftaktkundgebung 9:15 Uhr, Rosa-Luxemburg-Platz Kundgebung, danach ""Zug der Widerspenstigen"" zur DGB-Kundgebung",2289
1993,09:30,,,,IG Metall,Scenariusz / 1. Mai,9:30 - IG Metall Haus,1937
1993,09:30,,,,BKG,Scenariusz / 1. Mai,"9:30 - BKG (Bündnis Kritischer Gewerkschaften) march von Luxemburg Platz zu Marx-Engels-Forum Motto: ""Solidarität statt Solidarpakt"" slogan/main BKG",1939
1993,09:30,,Mitte,Mitte;Prenzlauer Berg,DGB;IGM;BKG,Prasa / taz / 1. Mai: DGB,"Opis:: DGB-Haus at 9AM, IGM Haus at 9:30AM, Gewerkschafthaus Mitte 10AM — all go to Lustgarten for 11AM. Speakers  – Yilmaz Karahasan (Vorstandsmitglied IGM), Burgunde Grosse (Kreisvorsitzende Berlin-Nord) und Ursula Schäfer (Kreisvorsitzende Berlin-Süd). 1PM – Oranienplatz-Rosenthalerplatz for those who are 'protest and demonstration willing' – as if trade union demonstration wasn't for those who",2277
1993,10:00,,Mitte,Mitte,,Scenariusz / 1. Mai,10:00 - Gewerkschaftshaus Mitte,1941
1993,10:45,,,,DGB;BKG,Scenariusz / 1. Mai,10:45 - BKG short end-rally Marx-Engels-Forum danach Anschluss an die Demonstration des DGB BKG DGB route,1943
1993,11:00,,,,DGB,Scenariusz / 1. Mai,11:00 - Hauptveranstaltung DGB Lustgarten (Familienfest),1944
1993,12:00,,Prenzlauer Berg,Prenzlauer Berg,,Scenariusz / 1. Mai,12:00 - Helmholtzplatz in Prenzlauer Berg Bezirksfest,1945
1993,12:30,,,,DAG,Scenariusz / 1. Mai,"12:30 - DAG (Deutsche Angestellten-Gewerkschaft) ""Hof-Info-Fest"" DAG-Haus, Blissestraße (Umbenennung in ""Siegfried-Aufhäuser-Haus"") Motto: ""Gegen Sozialabbau – für soziale Gerechtigkeit"" Informationen mit musikalischem Programm",1946
1993,12:30,,,,DAG,Prasa / taz / Rot ist der Maien — und sehr som­mer­lich,"DAG (Deutsche Angestellten-Gewerkschaft) - ""Hof-Info-Fest"" ab 12:30 Uhr, DAG-Haus, Blissestraße (Umbenennung in ""Siegfried-Aufhäuser-Haus"") Motto: ""Gegen Sozialabbau – für soziale Gerechtigkeit"" Informationen mit musikalischem Programm",2294
1993,13:00,,,,,Scenariusz / 1. Mai,13:00 - Revolutionary 1st of May Demonstration Oranienplatz,1947
1993,13:00,,Marzahn,Marzahn,PDS,Scenariusz / 1. Mai,"13:00 - PDS Marzahn ""Rot ist der Mai"" Geschäftsstelle Alt-Marzahn 64 Organisiert vom Marzahner Bezirk, ""Einheitskomitee""",1948
1993,13:00,,Marzahn,Marzahn,PDS,Prasa / taz / Rot ist der Maien — und sehr som­mer­lich,"PDS Marzahn - ""Rot ist der Mai"" ab 13:00 Uhr, Geschäftsstelle Alt-Marzahn 64 Organisiert vom Marzahner Bezirk, ""Einheitskomitee""",2291
1993,14:00,,Friedrichshain,Friedrichshain,PDS,Scenariusz / 1. Mai,14:00 - PDS Friedrichshain Verlag des Neuen Deutschland Einladung der Friedrichshainer GenossInnen (Franz-Mehring Platz) PDS festival script,1949
1993,14:00,,Friedrichshain,Friedrichshain,FAP,Scenariusz / 1. Mai,"14:00 – FAP nazi demonstration in Friedrichshain, attempts of antifascists to block their march",1951
1993,14:00,,Friedrichshain,Friedrichshain,PDS,Prasa / taz / Rot ist der Maien — und sehr som­mer­lich,"PDS Friedrichshain 14:00 Uhr, Verlag des Neuen Deutschland Einladung der Friedrichshainer GenossInnen",2292
1993,15:00,,Kreuzberg,Kreuzberg,,Scenariusz / 1. Mai,"15:00-19:00 - Arbeiterwohlfahrt Kreuzberg ""Begegnung der Generationen"" Seniorenheim, Stallschreiberstraße Erwachsenen- und Kinderfest",1952
1993,18:00,,,,,Scenariusz / 30. April,"18:00 - Protest against violence against women on the night of Walpurgie (going strong since 1977). From Nolendorfplatz to Zoo (BZ 30.04, 15)",1927
1994,09:30,,,,ÖTV,Scenariusz,"9:30 – Demonstracja spod ÖTV-Haus, Engeldamm",2523
1994,09:30,,,,IG Metall,Scenariusz,"9:30 – Demonstracja spod IG Metall-Haus, Alte Jakobstrasse",2524
1994,09:45,,,,,Scenariusz,"9:45 – Demonstracja spod Wallstrasse, Haus der Gewerkschaften",2525
1994,10:00,,Kreuzberg,Kreuzberg,,R1M,Unterdessen wird in Kreuzberg gefeiert statt demonstriert. Zum ersten Mal seit sechs Jahren wird es am 1. Mai keine „revolutionäre Demonstration“ geben. Nachdem bereits im vergangenen Jahr der Kreuzberger Scherbenlauf von mehreren autonomen Gruppen als „Ritual“ und „ohne Inhalt“ kritisiert worden war und sich im Vorbereitungskreis organisierte K-Gruppen mit undogmatischen Gruppen gestritten hatten,2541
1994,10:15,,,,PDS,Scenariusz,"Die PDS Berlin ruft ihre Mitglieder und Sympathisanten auf, an den Maiveranstaltungen der Gewerkschaften teilzunehmen. Um 10.15 Uhr ist Treffpunkt vor dem Karl-Liebknecht-Haus.",2498
1994,10:15,,,,DGB;PDS,Scenariusz,10:15 – zaproszenie berlińskiego PDS do udziału w 1. Maja DGB – zbiórka przed Karl-Liebknecht Haus; stamtąd rusza demonstracja do Lustgarten (nd 27.04),2526
